Model,Chapter,Question,Answer,Question Score,Answer Score,,,,Question Score,Answer Score
No Evaluation & Refinement,Chapter 1.1,What are the four main categories of Internet communication links?,"""The four main categories of Internet communication links are wired links, wireless links, satellite links, and optical links.""",3,2,,,,mean,mean
No Evaluation & Refinement,Chapter 1.1,What are the primary characteristics of wired links that make them suitable for high-speed data transfer?,"""High-speed data transfer rates, low latency, and high reliability.""",3,1,,,Model,,
No Evaluation & Refinement,Chapter 1.1,What is the primary function of a packet switch in the Internet's infrastructure?,"""A packet switch forwards packets from incoming communication links to outgoing communication links.""",4,1,,,Full Model,4.133333333,3.788888889
No Evaluation & Refinement,Chapter 1.1,What is the analogy between human protocols and network protocols in the context of the Internet?,"""A network protocol is similar to a human protocol, with the entities exchanging messages being hardware or software components of devices.""",4,3,,,No Agent,2.588888889,2.5
No Evaluation & Refinement,Chapter 1.1,What is the primary function of the socket interface in the context of the Internet?,"""The primary function of the socket interface is to specify how a program asks the Internet infrastructure to deliver data to a destination program on another end system.""",4,4,,,No Evaluation & Refinement,3.077777778,2.788888889
No Evaluation & Refinement,Chapter 1.1,"What are the primary components of a computer network, and what role do they play in facilitating communication between devices?","""The primary components of a computer network include devices such as computers, smartphones, and other network-enabled devices, which facilitate communication between devices.""",3,3,,,,,
No Evaluation & Refinement,Chapter 1.1,Identify the primary devices that are considered components at the edge of a computer network.,"""Computers, smartphones, and other devices.""",3,1,,,,,
No Evaluation & Refinement,Chapter 1.1,What is the primary function of an access network in relation to an end system and a router?,"""The primary function of an access network is to physically connect an end system to the first router on a path from the end system to any other distant end system.""",4,4,,,,,
No Evaluation & Refinement,Chapter 1.1,Describe the role of an access network in physically connecting an end system to the first router on a network path.,"""The access network physically connects an end system to the first router on a network path, serving as the initial link between the end system and the broader network.""",4,4,,,,,
No Evaluation & Refinement,Chapter 1.1,What is the role of physical media in the transmission of a bit from one end system to another in a computer network?,"""A physical medium is a physical substance that carries the bit from one end system to another in a computer network.""",4,3,,,,,
No Evaluation & Refinement,Chapter 1.1,How did the World Wide Web change the way people interact inside and outside their work environments?,"""The World Wide Web dramatically changed how people interact inside and outside their work environments.""",3,2,,,,,
No Evaluation & Refinement,Chapter 1.1,What are the primary features that distinguish the Web from traditional broadcast media?,"""The primary features that distinguish the Web from traditional broadcast media are that it operates on demand, allows users to receive content when they want it,",3,3,,,,,
No Evaluation & Refinement,Chapter 1.1,What was the primary difference in how users interacted with information before and after the introduction of the World Wide Web?,"""Users could access information on demand, rather than having to tune in at a specific time.""",4,1,,,,,
No Evaluation & Refinement,Chapter 1.1,What is the primary role of HTTP as an application-layer protocol in the context of the Web?,"""HTTP is the application-layer protocol that enables communication between client and server programs on different end systems, exchanging messages to facilitate data transfer.""",4,3,,,,,
No Evaluation & Refinement,Chapter 1.1,Given the structure of the HTTP request message,"""The structure of the HTTP request message includes the request line, headers, and an empty line to indicate the end of the headers.""",3,4,,,,,
No Evaluation & Refinement,Chapter 1.1,How many groups of users primarily used the Internet until the early 1990s?,"""There were three groups of users primarily using the Internet until the early 1990s: researchers, academics, and university students.""",3,3,,,,,
No Evaluation & Refinement,Chapter 1.1,A client sends a request to a server using the HTTP protocol. Describe the general format of the request message.,"""The general format of the HTTP request message is:METHOD Request-URI HTTP/VersionHost:Accept:User-Agent:Accept-Language:Accept-Encoding:""",4,2,,,,,
No Evaluation & Refinement,Chapter 1.1,What are the five lines that make up an HTTP request message?,"""The five lines that make up an HTTP request message are the request line, and four header lines.""",3,3,,,,,
No Evaluation & Refinement,Chapter 1.1,What is the primary purpose of cookies in the context of Web interactions?,"""Cookies allow sites to keep track of users.""",4,1,,,,,
No Evaluation & Refinement,Chapter 1.1,What is the total count of lines in the HTTP request message shown?,"""There are 5 lines in the HTTP request message shown.""",3,3,,,,,
No Evaluation & Refinement,Chapter 1.1,What is the primary function of the transport layer in terms of communication between application processes?,"""The primary function of the transport layer is to provide logical communication between application processes running on different hosts.""",3,3,,,,,
No Evaluation & Refinement,Chapter 1.1,"A receiving host has two sockets, one for a web server and one for an email client. Describe how the transport layer would demultiplex incoming segments to ensure the correct application process receives the data.","""The transport layer demultiplexes incoming segments by using the unique identifier of each socket, which is stored in a set of fields in the segment.""",3,4,,,,,
No Evaluation & Refinement,Chapter 1.1,"Consider a scenario where you have four network application processes running on your computer: two Telnet sessions, one FTP session, and one HTTP session. Explain how the transport layer multiplexes and demultiplexes data for these different application processes.","""The transport layer multiplexes data by assigning a unique port number to each application process, allowing multiple processes to share the same connection. It demultiplexes data by checking the destination port number in the segment header, directing the data to the correct application process.""",2,4,,,,,
No Evaluation & Refinement,Chapter 1.1,Explain the concept of logical communication in the context of the transport layer.,"""The transport layer provides logical communication between application processes running on different hosts, allowing them to send messages as if they were directly connected.""",4,2,,,,,
