Model,Question Number,Question Score,Answer Score,,,4,Question Score,Answer Score
No Agent,1,3,3,,,,mean,mean
No Agent,2,3,3,,,Model,,
No Agent,3,2,1,,,Full Model,3.933333333,4.011111111
No Agent,4,2,3,,,No Agent,2.166666667,1.955555556
No Agent,5,1,1,,,No Evaluation & Refinement,2.911111111,3.011111111
No Agent,6,2,3,,,Full Model(llama3-3B),3.722222222,2.766666667
No Agent,7,3,3,,,mean,3.183333333,2.936111111
No Agent,8,3,3,,,,,
No Agent,9,3,1,,,,,
No Agent,10,3,3,,,,,
No Agent,11,2,3,,,,,
No Agent,12,2,1,,,,,
No Agent,13,1,3,,,,,
No Agent,14,1,3,,,,,
No Agent,15,1,3,,,,,
No Agent,16,2,1,,,,,
No Agent,17,1,3,,,,,
No Agent,18,3,2,,,,,
No Agent,19,1,1,,,,,
No Agent,20,3,1,,,,,
No Agent,21,3,3,,,,,
No Agent,22,1,1,,,,,
No Agent,23,3,2,,,,,
No Agent,24,3,3,,,,,
No Agent,25,3,2,,,,,
No Agent,26,3,1,,,,,
No Agent,27,3,2,,,,,
No Agent,28,3,3,,,,,
No Agent,29,2,1,,,,,
No Agent,30,3,2,,,,,
No Agent,31,3,1,,,,,
No Agent,32,3,1,,,,,
No Agent,33,2,3,,,,,
No Agent,34,1,2,,,,,
No Agent,35,2,2,,,,,
No Agent,36,3,2,,,,,
No Agent,37,2,1,,,,,
No Agent,38,2,2,,,,,
No Agent,39,2,1,,,,,
No Agent,40,2,1,,,,,
No Agent,41,1,2,,,,,
No Agent,42,2,1,,,,,
No Agent,43,3,1,,,,,
No Agent,44,3,3,,,,,
No Agent,45,1,2,,,,,
No Agent,46,1,2,,,,,
No Agent,47,2,3,,,,,
No Agent,48,3,2,,,,,
No Agent,49,1,3,,,,,
No Agent,50,1,1,,,,,
No Agent,51,3,2,,,,,
No Agent,52,3,1,,,,,
No Agent,53,1,2,,,,,
No Agent,54,2,2,,,,,
No Agent,55,3,2,,,,,
No Agent,56,2,2,,,,,
No Agent,57,2,3,,,,,
No Agent,58,2,1,,,,,
No Agent,59,3,1,,,,,
No Agent,60,3,1,,,,,
No Agent,61,2,1,,,,,
No Agent,62,3,2,,,,,
No Agent,63,3,3,,,,,
No Agent,64,1,3,,,,,
No Agent,65,1,1,,,,,
No Agent,66,3,3,,,,,
No Agent,67,3,2,,,,,
No Agent,68,1,1,,,,,
No Agent,69,1,2,,,,,
No Agent,70,1,3,,,,,
No Agent,71,1,2,,,,,
No Agent,72,2,2,,,,,
No Agent,73,2,2,,,,,
No Agent,74,1,2,,,,,
No Agent,75,2,1,,,,,
No Agent,76,3,3,,,,,
No Agent,77,1,1,,,,,
No Agent,78,3,1,,,,,
No Agent,79,1,1,,,,,
No Agent,80,2,3,,,,,
No Agent,81,2,1,,,,,
No Agent,82,2,2,,,,,
No Agent,83,3,3,,,,,
No Agent,84,3,2,,,,,
