Model,Question Number,Question Score,Answer Score,,,9,Question Score,Answer Score
No Agent,1,1,1,,,,mean,mean
No Agent,2,2,2,,,Model,,
No Agent,3,2,1,,,Full Model,4.2,3.911111111
No Agent,4,1,3,,,No Agent,1.955555556,1.966666667
No Agent,5,3,1,,,No Evaluation & Refinement,2.9,3.022222222
No Agent,6,1,2,,,Full Model(llama3-3B),3.844444444,3.922222222
No Agent,7,2,1,,,mean,3.225,3.205555556
No Agent,8,2,3,,,,,
No Agent,9,2,1,,,,,
No Agent,10,3,1,,,,,
No Agent,11,2,2,,,,,
No Agent,12,1,3,,,,,
No Agent,13,3,1,,,,,
No Agent,14,1,3,,,,,
No Agent,15,1,3,,,,,
No Agent,16,3,3,,,,,
No Agent,17,2,1,,,,,
No Agent,18,1,1,,,,,
No Agent,19,1,2,,,,,
No Agent,20,2,2,,,,,
No Agent,21,1,2,,,,,
No Agent,22,3,2,,,,,
No Agent,23,2,1,,,,,
No Agent,24,3,1,,,,,
No Agent,25,3,2,,,,,
No Agent,26,2,2,,,,,
No Agent,27,3,3,,,,,
No Agent,28,1,2,,,,,
No Agent,29,1,3,,,,,
No Agent,30,1,3,,,,,
No Agent,31,1,3,,,,,
No Agent,32,1,3,,,,,
No Agent,33,1,1,,,,,
No Agent,34,1,3,,,,,
No Agent,35,3,2,,,,,
No Agent,36,1,2,,,,,
No Agent,37,3,2,,,,,
No Agent,38,1,2,,,,,
No Agent,39,2,2,,,,,
No Agent,40,2,3,,,,,
No Agent,41,1,1,,,,,
No Agent,42,3,3,,,,,
No Agent,43,3,2,,,,,
No Agent,44,1,1,,,,,
No Agent,45,1,2,,,,,
No Agent,46,1,3,,,,,
No Agent,47,2,3,,,,,
No Agent,48,2,1,,,,,
No Agent,49,2,1,,,,,
No Agent,50,1,2,,,,,
No Agent,51,2,3,,,,,
No Agent,52,2,1,,,,,
No Agent,53,3,3,,,,,
No Agent,54,3,2,,,,,
No Agent,55,2,3,,,,,
No Agent,56,3,1,,,,,
No Agent,57,2,1,,,,,
No Agent,58,2,2,,,,,
No Agent,59,2,3,,,,,
No Agent,60,3,3,,,,,
No Agent,61,2,3,,,,,
No Agent,62,1,1,,,,,
No Agent,63,3,1,,,,,
No Agent,64,2,2,,,,,
No Agent,65,1,2,,,,,
No Agent,66,2,3,,,,,
No Agent,67,3,1,,,,,
No Agent,68,2,1,,,,,
No Agent,69,3,2,,,,,
No Agent,70,2,3,,,,,
No Agent,71,2,3,,,,,
No Agent,72,2,1,,,,,
No Agent,73,2,3,,,,,
No Agent,74,3,1,,,,,
No Agent,75,3,2,,,,,
No Agent,76,1,1,,,,,
No Agent,77,3,3,,,,,
No Agent,78,2,1,,,,,
No Agent,79,2,2,,,,,
No Agent,80,3,2,,,,,
No Agent,81,3,2,,,,,
No Agent,82,1,2,,,,,
No Agent,83,2,1,,,,,
No Agent,84,1,2,,,,,
No Agent,85,3,2,,,,,
No Agent,86,2,1,,,,,
No Agent,87,1,2,,,,,
No Agent,88,1,3,,,,,
No Agent,89,3,1,,,,,
No Agent,90,2,1,,,,,
No Evaluation & Refinement,1,2,3,,,,,
No Evaluation & Refinement,2,2,3,,,,,
No Evaluation & Refinement,3,3,4,,,,,
No Evaluation & Refinement,4,2,3,,,,,
No Evaluation & Refinement,5,3,2,,,,,
No Evaluation & Refinement,6,2,3,,,,,
No Evaluation & Refinement,7,2,2,,,,,
No Evaluation & Refinement,8,3,2,,,,,
No Evaluation & Refinement,9,3,4,,,,,
No Evaluation & Refinement,10,2,3,,,,,
No Evaluation & Refinement,11,3,3,,,,,
No Evaluation & Refinement,12,4,2,,,,,
No Evaluation & Refinement,13,3,2,,,,,
No Evaluation & Refinement,14,3,2,,,,,
No Evaluation & Refinement,15,2,2,,,,,
No Evaluation & Refinement,16,2,3,,,,,
No Evaluation & Refinement,17,2,4,,,,,
No Evaluation & Refinement,18,3,2,,,,,
No Evaluation & Refinement,19,3,4,,,,,
No Evaluation & Refinement,20,3,3,,,,,
No Evaluation & Refinement,21,4,3,,,,,
No Evaluation & Refinement,22,4,3,,,,,
No Evaluation & Refinement,23,4,4,,,,,
No Evaluation & Refinement,24,2,4,,,,,
No Evaluation & Refinement,25,2,4,,,,,
No Evaluation & Refinement,26,2,2,,,,,
No Evaluation & Refinement,27,2,4,,,,,
No Evaluation & Refinement,28,2,2,,,,,
No Evaluation & Refinement,29,4,4,,,,,
No Evaluation & Refinement,30,4,2,,,,,
No Evaluation & Refinement,31,2,2,,,,,
No Evaluation & Refinement,32,2,4,,,,,
No Evaluation & Refinement,33,4,2,,,,,
No Evaluation & Refinement,34,4,2,,,,,
No Evaluation & Refinement,35,3,4,,,,,
No Evaluation & Refinement,36,2,4,,,,,
No Evaluation & Refinement,37,2,3,,,,,
No Evaluation & Refinement,38,4,2,,,,,
No Evaluation & Refinement,39,3,3,,,,,
No Evaluation & Refinement,40,3,3,,,,,
No Evaluation & Refinement,41,2,4,,,,,
No Evaluation & Refinement,42,3,4,,,,,
No Evaluation & Refinement,43,4,3,,,,,
No Evaluation & Refinement,44,3,4,,,,,
No Evaluation & Refinement,45,2,3,,,,,
No Evaluation & Refinement,46,4,4,,,,,
No Evaluation & Refinement,47,3,3,,,,,
No Evaluation & Refinement,48,2,3,,,,,
No Evaluation & Refinement,49,4,2,,,,,
No Evaluation & Refinement,50,3,4,,,,,
No Evaluation & Refinement,51,2,2,,,,,
No Evaluation & Refinement,52,3,2,,,,,
No Evaluation & Refinement,53,4,3,,,,,
No Evaluation & Refinement,54,3,4,,,,,
No Evaluation & Refinement,55,2,3,,,,,
No Evaluation & Refinement,56,4,3,,,,,
No Evaluation & Refinement,57,2,4,,,,,
No Evaluation & Refinement,58,3,4,,,,,
No Evaluation & Refinement,59,2,2,,,,,
No Evaluation & Refinement,60,2,4,,,,,
No Evaluation & Refinement,61,4,2,,,,,
No Evaluation & Refinement,62,2,2,,,,,
No Evaluation & Refinement,63,4,3,,,,,
No Evaluation & Refinement,64,3,3,,,,,
No Evaluation & Refinement,65,3,4,,,,,
No Evaluation & Refinement,66,4,2,,,,,
No Evaluation & Refinement,67,4,2,,,,,
No Evaluation & Refinement,68,4,4,,,,,
No Evaluation & Refinement,69,4,2,,,,,
No Evaluation & Refinement,70,4,4,,,,,
No Evaluation & Refinement,71,2,2,,,,,
No Evaluation & Refinement,72,2,3,,,,,
No Evaluation & Refinement,73,2,3,,,,,
No Evaluation & Refinement,74,4,3,,,,,
No Evaluation & Refinement,75,2,4,,,,,
No Evaluation & Refinement,76,3,3,,,,,
No Evaluation & Refinement,77,2,3,,,,,
No Evaluation & Refinement,78,3,3,,,,,
No Evaluation & Refinement,79,3,4,,,,,
No Evaluation & Refinement,80,2,4,,,,,
No Evaluation & Refinement,81,4,4,,,,,
No Evaluation & Refinement,82,2,4,,,,,
No Evaluation & Refinement,83,4,2,,,,,
No Evaluation & Refinement,84,4,4,,,,,
No Evaluation & Refinement,85,3,3,,,,,
No Evaluation & Refinement,86,3,3,,,,,
No Evaluation & Refinement,87,3,2,,,,,
No Evaluation & Refinement,88,3,3,,,,,
No Evaluation & Refinement,89,4,2,,,,,
No Evaluation & Refinement,90,2,3,,,,,
Full Model,1,3,3,,,,,
Full Model,2,5,3,,,,,
Full Model,3,5,5,,,,,
Full Model,4,5,4,,,,,
Full Model,5,4,4,,,,,
Full Model,6,3,3,,,,,
Full Model,7,3,3,,,,,
Full Model,8,4,4,,,,,
Full Model,9,4,3,,,,,
Full Model,10,4,4,,,,,
Full Model,11,3,5,,,,,
Full Model,12,3,3,,,,,
Full Model,13,5,5,,,,,
Full Model,14,3,3,,,,,
Full Model,15,4,3,,,,,
Full Model,16,4,3,,,,,
Full Model,17,5,5,,,,,
Full Model,18,3,3,,,,,
Full Model,19,5,4,,,,,
Full Model,20,4,5,,,,,
Full Model,21,5,5,,,,,
Full Model,22,4,4,,,,,
Full Model,23,4,3,,,,,
Full Model,24,4,3,,,,,
Full Model,25,5,3,,,,,
Full Model,26,5,5,,,,,
Full Model,27,4,3,,,,,
Full Model,28,4,5,,,,,
Full Model,29,5,5,,,,,
Full Model,30,5,3,,,,,
Full Model,31,4,3,,,,,
Full Model,32,3,3,,,,,
Full Model,33,5,4,,,,,
Full Model,34,5,3,,,,,
Full Model,35,3,3,,,,,
Full Model,36,4,4,,,,,
Full Model,37,5,4,,,,,
Full Model,38,4,3,,,,,
Full Model,39,3,3,,,,,
Full Model,40,5,5,,,,,
Full Model,41,4,4,,,,,
Full Model,42,3,3,,,,,
Full Model,43,4,5,,,,,
Full Model,44,3,3,,,,,
Full Model,45,5,5,,,,,
Full Model,46,5,3,,,,,
Full Model,47,4,5,,,,,
Full Model,48,5,4,,,,,
Full Model,49,3,5,,,,,
Full Model,50,5,4,,,,,
Full Model,51,5,3,,,,,
Full Model,52,5,5,,,,,
Full Model,53,5,3,,,,,
Full Model,54,5,4,,,,,
Full Model,55,4,4,,,,,
Full Model,56,5,4,,,,,
Full Model,57,4,4,,,,,
Full Model,58,3,5,,,,,
Full Model,59,3,4,,,,,
Full Model,60,5,3,,,,,
Full Model,61,4,4,,,,,
Full Model,62,5,4,,,,,
Full Model,63,4,5,,,,,
Full Model,64,4,5,,,,,
Full Model,65,5,3,,,,,
Full Model,66,5,5,,,,,
Full Model,67,5,3,,,,,
Full Model,68,3,3,,,,,
Full Model,69,5,4,,,,,
Full Model,70,5,5,,,,,
Full Model,71,5,5,,,,,
Full Model,72,4,5,,,,,
Full Model,73,4,4,,,,,
Full Model,74,3,3,,,,,
Full Model,75,3,5,,,,,
Full Model,76,5,3,,,,,
Full Model,77,4,4,,,,,
Full Model,78,5,5,,,,,
Full Model,79,4,4,,,,,
Full Model,80,5,5,,,,,
Full Model,81,3,4,,,,,
Full Model,82,4,5,,,,,
Full Model,83,5,4,,,,,
Full Model,84,5,3,,,,,
Full Model,85,3,3,,,,,
Full Model,86,5,3,,,,,
Full Model,87,3,5,,,,,
Full Model,88,5,3,,,,,
Full Model,89,3,4,,,,,
Full Model,90,5,5,,,,,
Full Model(llama3-3B),,4,5,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,3,3,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,3,3,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,4,5,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,3,4,,,,,
Full Model(llama3-3B),,4,5,,,,,
Full Model(llama3-3B),,5,3,,,,,
Full Model(llama3-3B),,3,4,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,3,4,,,,,
Full Model(llama3-3B),,4,5,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,3,4,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,3,4,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,4,5,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,3,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,4,5,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,3,3,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,4,5,,,,,
Full Model(llama3-3B),,3,4,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,4,5,,,,,
Full Model(llama3-3B),,3,3,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,3,5,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,3,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,4,5,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,3,3,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,4,5,,,,,
Full Model(llama3-3B),,3,3,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,5,5,,,,,
Full Model(llama3-3B),,3,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,3,3,,,,,
Full Model(llama3-3B),,5,5,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,3,3,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,4,5,,,,,
Full Model(llama3-3B),,3,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,5,4,,,,,
Full Model(llama3-3B),,3,5,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,3,4,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,3,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,4,4,,,,,
Full Model(llama3-3B),,4,3,,,,,
Full Model(llama3-3B),,4,4,,,,,
